Vendor Location,Participant Category,Year Month,Number of Participants Redeemed,Number Vouchers Redeemed,Total Cost Vouchers,Average Cost,Statewide Infant Formula Rebate,Total Cost Vouchers Adjusted,Average Cost Adjusted,State Average Cost Adjusted
BUTTE,Child,2010-02,"3,696","13,164","$163,965.16",$44.36,,,,
BUTTE,Child,2010-03,"3,760","13,394","$164,877.73",$43.85,,,,
BUTTE,Child,2010-04,"3,814","13,675","$165,940.33",$43.51,,,,
BUTTE,Child,2010-05,"3,790","13,570","$159,956.69",$42.20,,,,
BUTTE,Child,2010-06,"3,845","13,850","$162,222.95",$42.19,,,,
BUTTE,Child,2010-07,"3,963","14,152","$165,694.25",$41.81,,,,
BUTTE,Child,2010-08,"3,950","14,243","$167,414.91",$42.38,,,,
BUTTE,Child,2010-09,"3,784","13,565","$159,657.23",$42.19,,,,
BUTTE,Child,2010-10,"3,760","13,277","$157,757.66",$41.96,,,,
BUTTE,Child,2010-11,"3,845","13,657","$165,201.07",$42.97,,,,
BUTTE,Child,2010-12,"3,831","13,631","$164,857.31",$43.03,,,,
BUTTE,Child,2011-01,"3,856","13,829","$165,113.74",$42.82,,,,
BUTTE,Child,2011-02,"3,664","13,135","$157,101.61",$42.88,,,,
BUTTE,Child,2011-03,"3,818","13,625","$167,525.40",$43.88,,,,
BUTTE,Child,2011-04,"3,757","13,538","$168,457.79",$44.84,,,,
BUTTE,Child,2011-05,"3,747","13,423","$168,687.76",$45.02,,,,
BUTTE,Child,2011-06,"3,875","14,011","$177,923.95",$45.92,,,,
BUTTE,Child,2011-07,"3,751","13,413","$172,242.38",$45.92,,,,
BUTTE,Child,2011-08,"3,863","13,903","$180,096.46",$46.62,,,,
BUTTE,Child,2011-09,"3,825","13,607","$177,623.30",$46.44,,,,
BUTTE,Child,2011-10,"3,658","13,099","$170,431.05",$46.59,,,,
BUTTE,Child,2011-11,"3,744","13,420","$173,334.60",$46.30,,,,
BUTTE,Child,2011-12,"3,697","13,173","$170,490.77",$46.12,,,,
BUTTE,Child,2012-01,"3,736","13,354","$172,920.72",$46.28,,,,
BUTTE,Child,2012-02,"3,663","13,123","$168,342.02",$45.96,,,,
BUTTE,Child,2012-03,"3,692","13,178","$168,246.41",$45.57,,,,
BUTTE,Child,2012-04,"3,691","13,244","$168,154.55",$45.56,,,,
BUTTE,Child,2012-05,"3,741","13,350","$164,003.98",$43.84,,,,
BUTTE,Child,2012-06,"3,821","13,726","$164,801.91",$43.13,,,,
BUTTE,Child,2012-07,"3,848","13,804","$167,143.48",$43.44,,,,
BUTTE,Child,2012-08,"3,818","13,689","$166,100.28",$43.50,,,,
BUTTE,Child,2012-09,"3,677","13,232","$162,006.57",$44.06,,,,
BUTTE,Child,2012-10,"3,606","12,913","$161,161.33",$44.69,,,,
BUTTE,Child,2012-11,"3,659","13,051","$163,852.48",$44.78,,,,
BUTTE,Child,2012-12,"3,471","12,508","$156,667.20",$45.14,,,,
BUTTE,Child,2013-01,"3,661","13,039","$163,068.72",$44.54,,,,
BUTTE,Child,2013-02,"3,519","12,597","$156,337.13",$44.43,,,,
BUTTE,Child,2013-03,"3,445","12,253","$152,007.04",$44.12,,,,
BUTTE,Child,2013-04,"3,637","12,990","$160,416.15",$44.11,,,,
BUTTE,Child,2013-05,"3,651","13,064","$160,276.31",$43.90,,,,
BUTTE,Child,2013-06,"3,668","13,191","$161,322.23",$43.98,,,,
BUTTE,Child,2013-07,"3,766","13,511","$166,072.57",$44.10,,,,
BUTTE,Child,2013-08,"3,658","13,155","$160,887.96",$43.98,,,,
BUTTE,Child,2013-09,"3,599","12,962","$158,550.13",$44.05,,,,
BUTTE,Child,2013-10,"3,562","12,622","$154,534.30",$43.38,,,,
BUTTE,Child,2013-11,"3,271","11,696","$144,856.57",$44.29,,,,
BUTTE,Child,2013-12,"3,351","12,038","$150,248.75",$44.84,,,,
BUTTE,Child,2014-01,"3,530","12,645","$158,063.73",$44.78,,,,
BUTTE,Child,2014-02,"3,366","12,102","$153,199.29",$45.51,,,,
BUTTE,Child,2014-03,"3,416","12,218","$156,349.45",$45.77,,,,
BUTTE,Child,2014-04,"3,479","12,598","$162,607.41",$46.74,,,,
BUTTE,Child,2014-05,"3,495","12,528","$161,241.27",$46.13,,,,
BUTTE,Child,2014-06,"3,455","12,398","$161,895.12",$46.86,,,,
BUTTE,Child,2014-07,"3,549","12,666","$168,694.17",$47.53,,,,
BUTTE,Child,2014-08,"3,423","12,263","$162,993.43",$47.62,,,,
BUTTE,Child,2014-09,"3,396","12,129","$160,188.79",$47.17,,,,
BUTTE,Child,2014-10,"3,288","11,469","$152,731.99",$46.45,,,,
BUTTE,Child,2014-11,"3,207","11,133","$149,162.87",$46.51,,,,
BUTTE,Child,2014-12,"3,083","10,793","$145,918.35",$47.33,,,,
BUTTE,Child,2015-01,"3,229","11,294","$151,840.34",$47.02,,,,
BUTTE,Child,2015-02,"3,109","10,862","$141,931.53",$45.65,,,,
BUTTE,Child,2015-03,"3,139","11,043","$141,454.00",$45.06,,,,
BUTTE,Child,2015-04,"3,161","11,168","$141,540.40",$44.78,,,,
BUTTE,Child,2015-05,"3,187","11,249","$142,275.52",$44.64,,,,
BUTTE,Child,2015-06,"3,284","11,624","$149,664.74",$45.57,,,,
BUTTE,Child,2015-07,"3,316","11,713","$152,377.72",$45.95,,,,
BUTTE,Child,2015-08,"3,340","11,814","$153,825.39",$46.06,,,,
BUTTE,Child,2015-09,"3,207","11,277","$147,334.66",$45.94,,,,
BUTTE,Child,2015-10,"3,060","10,669","$138,138.00",$45.14,,,,
BUTTE,Child,2015-11,"2,926","10,299","$133,457.49",$45.61,,,,
BUTTE,Child,2015-12,"2,975","10,536","$135,006.04",$45.38,,,,
BUTTE,Child,2016-01,"3,028","10,583","$136,410.23",$45.05,,,,
BUTTE,Child,2016-02,"2,843","10,047","$128,962.49",$45.36,,,,
BUTTE,Child,2016-03,"2,827","9,966","$126,896.43",$44.89,,,,
BUTTE,Child,2016-04,"2,872","10,116","$129,990.42",$45.26,,,,
BUTTE,Child,2016-05,"2,832","10,014","$128,390.31",$45.34,,,,
BUTTE,Child,2016-06,"2,909","10,270","$130,257.00",$44.78,,,,
BUTTE,Child,2016-07,"2,858","10,159","$129,351.19",$45.26,,,,
BUTTE,Child,2016-08,"2,936","10,392","$132,203.76",$45.03,,,,
BUTTE,Child,2016-09,"2,828","10,029","$128,585.76",$45.47,,,,
BUTTE,Child,2016-10,"2,700","9,459","$121,528.10",$45.01,,,,
BUTTE,Child,2016-11,"2,660","9,334","$119,721.27",$45.01,,,,
BUTTE,Child,2016-12,"2,651","9,345","$120,690.84",$45.53,,,,
BUTTE,Infant,2010-01,"1,201","4,585","$145,868.37",$121.46,,,,
BUTTE,Infant,2010-02,"1,193","4,548","$143,073.20",$119.93,,,,
BUTTE,Infant,2010-03,"1,235","4,670","$146,274.75",$118.44,,,,
BUTTE,Infant,2010-04,"1,203","3,580","$144,163.39",$119.84,,,,
BUTTE,Infant,2010-05,"1,199","3,013","$143,649.28",$119.81,,,,
BUTTE,Infant,2010-06,"1,234","3,096","$146,254.54",$118.52,,,,
BUTTE,Infant,2010-07,"1,199","3,022","$142,955.15",$119.23,,,,
BUTTE,Infant,2010-08,"1,238","3,196","$145,932.73",$117.88,,,,
BUTTE,Infant,2010-09,"1,205","3,086","$144,882.61",$120.23,,,,
BUTTE,Infant,2010-10,"1,207","3,104","$144,538.91",$119.75,,,,
BUTTE,Infant,2010-11,"1,239","3,238","$147,322.02",$118.90,,,,
BUTTE,Infant,2010-12,"1,192","3,095","$146,446.15",$122.86,,,,
BUTTE,Infant,2011-01,"1,242","3,276","$151,551.40",$122.02,,,,
BUTTE,Infant,2011-02,"1,223","3,358","$145,731.63",$119.16,,,,
BUTTE,Infant,2011-03,"1,251","3,447","$152,948.74",$122.26,,,,
BUTTE,Infant,2011-04,"1,262","3,442","$151,102.30",$119.73,,,,
BUTTE,Infant,2011-05,"1,243","3,456","$150,970.98",$121.46,,,,
BUTTE,Infant,2011-06,"1,272","3,503","$157,395.48",$123.74,,,,
BUTTE,Infant,2011-07,"1,236","3,396","$154,035.45",$124.62,,,,
BUTTE,Infant,2011-08,"1,253","3,439","$155,068.09",$123.76,,,,
BUTTE,Infant,2011-09,"1,198","3,287","$150,729.70",$125.82,,,,
BUTTE,Infant,2011-10,"1,179","3,249","$146,390.30",$124.16,,,,
BUTTE,Infant,2011-11,"1,179","3,190","$145,498.64",$123.41,,,,
BUTTE,Infant,2011-12,"1,154","3,096","$142,637.18",$123.60,,,,
BUTTE,Infant,2012-01,"1,199","3,274","$147,380.96",$122.92,,,,
BUTTE,Infant,2012-02,"1,161","3,174","$141,174.23",$121.60,,,,
BUTTE,Infant,2012-03,"1,153","3,168","$142,966.41",$124.00,,,,
BUTTE,Infant,2012-04,"1,153","3,254","$142,758.70",$123.82,,,,
BUTTE,Infant,2012-05,"1,163","3,216","$141,974.67",$122.08,,,,
BUTTE,Infant,2012-06,"1,188","3,234","$139,025.53",$117.02,,,,
BUTTE,Infant,2012-07,"1,220","3,305","$143,592.08",$117.70,,,,
BUTTE,Infant,2012-08,"1,207","3,241","$141,758.13",$117.45,,,,
BUTTE,Infant,2012-09,"1,180","3,231","$140,118.21",$118.74,,,,
BUTTE,Infant,2012-10,"1,132","3,142","$136,853.28",$120.90,,,,
BUTTE,Infant,2012-11,"1,178","3,142","$140,083.20",$118.92,,,,
BUTTE,Infant,2012-12,"1,145","3,073","$137,603.87",$120.18,,,,
BUTTE,Infant,2013-01,"1,174","3,195","$143,427.24",$122.17,,,,
BUTTE,Infant,2013-02,"1,124","3,113","$138,267.29",$123.01,,,,
BUTTE,Infant,2013-03,"1,147","3,165","$137,322.63",$119.72,,,,
BUTTE,Infant,2013-04,"1,173","3,242","$142,602.94",$121.57,,,,
BUTTE,Infant,2013-05,"1,152","3,253","$141,106.87",$122.49,,,,
BUTTE,Infant,2013-06,"1,146","3,261","$139,105.71",$121.38,,,,
BUTTE,Infant,2013-07,"1,136","3,225","$139,219.18",$122.55,,,,
BUTTE,Infant,2013-08,"1,118","3,125","$141,450.11",$126.52,,,,
BUTTE,Infant,2013-09,"1,111","3,086","$138,955.97",$125.07,,,,
BUTTE,Infant,2013-10,"1,105","3,056","$138,253.40",$125.12,,,,
BUTTE,Infant,2013-11,"1,049","2,878","$134,252.63",$127.98,,,,
BUTTE,Infant,2013-12,"1,065","2,848","$137,707.62",$129.30,,,,
BUTTE,Infant,2014-01,"1,106","2,964","$142,075.11",$128.46,,,,
BUTTE,Infant,2014-02,"1,116","3,056","$143,362.75",$128.46,,,,
BUTTE,Infant,2014-03,"1,154","3,137","$146,266.79",$126.75,,,,
BUTTE,Infant,2014-04,"1,195","3,218","$152,101.69",$127.28,,,,
BUTTE,Infant,2014-05,"1,197","3,275","$151,017.63",$126.16,,,,
BUTTE,Infant,2014-06,"1,208","3,381","$150,426.35",$124.53,,,,
BUTTE,Infant,2014-07,"1,200","3,351","$149,658.60",$124.72,,,,
BUTTE,Infant,2014-08,"1,179","3,330","$147,885.89",$125.43,,,,
BUTTE,Infant,2014-09,"1,186","3,351","$150,455.16",$126.86,,,,
BUTTE,Infant,2014-10,"1,168","3,127","$146,097.57",$125.08,,,,
BUTTE,Infant,2014-11,"1,169","3,139","$144,261.29",$123.41,,,,
BUTTE,Infant,2014-12,"1,154","3,113","$146,145.72",$126.64,,,,
BUTTE,Infant,2015-01,"1,166","3,144","$145,694.92",$124.95,,,,
BUTTE,Infant,2015-02,"1,118","3,020","$139,035.08",$124.36,,,,
BUTTE,Infant,2015-03,"1,113","3,032","$139,118.02",$124.99,,,,
BUTTE,Infant,2015-04,"1,121","3,011","$136,764.07",$122.00,,,,
BUTTE,Infant,2015-05,"1,140","3,076","$140,767.74",$123.48,,,,
BUTTE,Infant,2015-06,"1,129","3,098","$139,263.38",$123.35,,,,
BUTTE,Infant,2015-07,"1,170","3,176","$146,123.74",$124.89,,,,
BUTTE,Infant,2015-08,"1,162","3,125","$145,629.63",$125.33,,,,
BUTTE,Infant,2015-09,"1,129","3,022","$142,215.05",$125.97,,,,
BUTTE,Infant,2015-10,"1,108","2,940","$141,447.94",$127.66,,,,
BUTTE,Infant,2015-11,"1,060","2,823","$131,003.38",$123.59,,,,
BUTTE,Infant,2015-12,"1,088","2,952","$134,027.00",$123.19,,,,
BUTTE,Infant,2016-01,"1,081","3,030","$135,642.26",$125.48,,,,
BUTTE,Infant,2016-02,"1,097","3,006","$137,550.56",$125.39,,,,
BUTTE,Infant,2016-03,"1,112","3,085","$141,363.24",$127.13,,,,
BUTTE,Infant,2016-04,"1,109","3,192","$138,508.65",$124.90,,,,
BUTTE,Infant,2016-05,"1,098","3,176","$134,830.11",$122.80,,,,
BUTTE,Infant,2016-06,"1,079","3,180","$131,847.56",$122.19,,,,
BUTTE,Infant,2016-07,"1,059","3,045","$128,239.56",$121.09,,,,
BUTTE,Infant,2016-08,"1,080","3,053","$131,544.34",$121.80,,,,
BUTTE,Infant,2016-09,"1,064","3,020","$130,570.70",$122.72,,,,
BUTTE,Infant,2016-10,"1,042","2,892","$128,461.06",$123.28,,,,
BUTTE,Infant,2016-11,"1,027","2,828","$125,296.74",$122.00,,,,
BUTTE,Infant,2016-12,"1,042","2,877","$127,763.32",$122.61,,,,
BUTTE,Non-Breastfeeding Mother,2010-01,374,"1,006","$15,517.19",$41.49,,,,
BUTTE,Non-Breastfeeding Mother,2010-02,380,"1,018","$15,338.80",$40.37,,,,
BUTTE,Non-Breastfeeding Mother,2010-03,385,"1,011","$14,503.87",$37.67,,,,
BUTTE,Non-Breastfeeding Mother,2010-04,384,"1,035","$14,466.13",$37.67,,,,
BUTTE,Non-Breastfeeding Mother,2010-05,381,"1,022","$13,874.60",$36.42,,,,
BUTTE,Non-Breastfeeding Mother,2010-06,379,"1,009","$13,844.75",$36.53,,,,
BUTTE,Non-Breastfeeding Mother,2010-07,367,974,"$13,324.08",$36.31,,,,
BUTTE,Non-Breastfeeding Mother,2010-08,389,"1,026","$13,846.68",$35.60,,,,
BUTTE,Non-Breastfeeding Mother,2010-09,379,"1,002","$13,734.65",$36.24,,,,
BUTTE,Non-Breastfeeding Mother,2010-10,395,"1,043","$14,488.83",$36.68,,,,
BUTTE,Non-Breastfeeding Mother,2010-11,406,"1,073","$15,133.01",$37.27,,,,
BUTTE,Non-Breastfeeding Mother,2010-12,397,"1,043","$14,656.28",$36.92,,,,
BUTTE,Non-Breastfeeding Mother,2011-01,393,"1,044","$14,363.80",$36.55,,,,
BUTTE,Non-Breastfeeding Mother,2011-02,349,938,"$13,029.45",$37.33,,,,
BUTTE,Non-Breastfeeding Mother,2011-03,386,"1,052","$14,898.55",$38.60,,,,
BUTTE,Non-Breastfeeding Mother,2011-04,374,990,"$14,292.57",$38.22,,,,
BUTTE,Non-Breastfeeding Mother,2011-05,362,968,"$13,984.53",$38.63,,,,
BUTTE,Non-Breastfeeding Mother,2011-06,394,"1,055","$15,408.59",$39.11,,,,
BUTTE,Non-Breastfeeding Mother,2011-07,394,"1,046","$15,690.40",$39.82,,,,
BUTTE,Non-Breastfeeding Mother,2011-08,387,"1,060","$15,880.25",$41.03,,,,
BUTTE,Non-Breastfeeding Mother,2011-09,389,"1,052","$15,986.34",$41.10,,,,
BUTTE,Non-Breastfeeding Mother,2011-10,381,"1,009","$15,238.42",$40.00,,,,
BUTTE,Non-Breastfeeding Mother,2011-11,373,990,"$14,838.50",$39.78,,,,
BUTTE,Non-Breastfeeding Mother,2011-12,368,984,"$14,836.97",$40.32,,,,
BUTTE,Non-Breastfeeding Mother,2012-01,360,947,"$14,183.91",$39.40,,,,
BUTTE,Non-Breastfeeding Mother,2012-02,356,947,"$13,711.26",$38.51,,,,
BUTTE,Non-Breastfeeding Mother,2012-03,357,925,"$13,546.16",$37.94,,,,
BUTTE,Non-Breastfeeding Mother,2012-04,351,925,"$13,358.26",$38.06,,,,
BUTTE,Non-Breastfeeding Mother,2012-05,339,881,"$12,410.09",$36.61,,,,
BUTTE,Non-Breastfeeding Mother,2012-06,354,956,"$12,945.46",$36.57,,,,
BUTTE,Non-Breastfeeding Mother,2012-07,370,960,"$13,133.05",$35.49,,,,
BUTTE,Non-Breastfeeding Mother,2012-08,348,929,"$12,728.26",$36.58,,,,
BUTTE,Non-Breastfeeding Mother,2012-09,351,926,"$12,817.12",$36.52,,,,
BUTTE,Non-Breastfeeding Mother,2012-10,348,927,"$13,028.40",$37.44,,,,
BUTTE,Non-Breastfeeding Mother,2012-11,361,950,"$13,576.47",$37.61,,,,
BUTTE,Non-Breastfeeding Mother,2012-12,359,943,"$13,451.69",$37.47,,,,
BUTTE,Non-Breastfeeding Mother,2013-01,356,940,"$13,354.21",$37.51,,,,
BUTTE,Non-Breastfeeding Mother,2013-02,350,933,"$13,371.84",$38.21,,,,
BUTTE,Non-Breastfeeding Mother,2013-03,337,908,"$12,875.88",$38.21,,,,
BUTTE,Non-Breastfeeding Mother,2013-04,345,913,"$12,891.98",$37.37,,,,
BUTTE,Non-Breastfeeding Mother,2013-05,342,902,"$12,668.17",$37.04,,,,
BUTTE,Non-Breastfeeding Mother,2013-06,350,918,"$12,681.51",$36.23,,,,
BUTTE,Non-Breastfeeding Mother,2013-07,306,820,"$11,341.23",$37.06,,,,
BUTTE,Non-Breastfeeding Mother,2013-08,309,819,"$11,292.20",$36.54,,,,
BUTTE,Non-Breastfeeding Mother,2013-09,308,836,"$11,557.85",$37.53,,,,
BUTTE,Non-Breastfeeding Mother,2013-10,300,786,"$11,079.19",$36.93,,,,
BUTTE,Non-Breastfeeding Mother,2013-11,311,829,"$11,671.56",$37.53,,,,
BUTTE,Non-Breastfeeding Mother,2013-12,312,844,"$11,913.39",$38.18,,,,
BUTTE,Non-Breastfeeding Mother,2014-01,354,961,"$13,462.73",$38.03,,,,
BUTTE,Non-Breastfeeding Mother,2014-02,353,939,"$13,590.70",$38.50,,,,
BUTTE,Non-Breastfeeding Mother,2014-03,340,895,"$13,127.83",$38.61,,,,
BUTTE,Non-Breastfeeding Mother,2014-04,351,951,"$14,081.61",$40.12,,,,
BUTTE,Non-Breastfeeding Mother,2014-05,348,918,"$13,699.75",$39.37,,,,
BUTTE,Non-Breastfeeding Mother,2014-06,356,942,"$14,062.07",$39.50,,,,
BUTTE,Non-Breastfeeding Mother,2014-07,336,907,"$13,664.83",$40.67,,,,
BUTTE,Non-Breastfeeding Mother,2014-08,319,851,"$12,679.02",$39.75,,,,
BUTTE,Non-Breastfeeding Mother,2014-09,327,862,"$12,743.04",$38.97,,,,
BUTTE,Non-Breastfeeding Mother,2014-10,302,789,"$11,779.65",$39.01,,,,
BUTTE,Non-Breastfeeding Mother,2014-11,314,824,"$12,093.79",$38.52,,,,
BUTTE,Non-Breastfeeding Mother,2014-12,318,842,"$12,602.56",$39.63,,,,
BUTTE,Non-Breastfeeding Mother,2015-01,329,867,"$12,810.50",$38.94,,,,
BUTTE,Non-Breastfeeding Mother,2015-02,304,792,"$11,152.29",$36.69,,,,
BUTTE,Non-Breastfeeding Mother,2015-03,336,849,"$11,849.35",$35.27,,,,
BUTTE,Non-Breastfeeding Mother,2015-04,314,799,"$11,146.17",$35.50,,,,
BUTTE,Non-Breastfeeding Mother,2015-05,325,859,"$11,930.03",$36.71,,,,
BUTTE,Non-Breastfeeding Mother,2015-06,322,836,"$11,926.01",$37.04,,,,
BUTTE,Non-Breastfeeding Mother,2015-07,307,823,"$11,762.70",$38.31,,,,
BUTTE,Non-Breastfeeding Mother,2015-08,321,852,"$12,099.53",$37.69,,,,
BUTTE,Non-Breastfeeding Mother,2015-09,313,831,"$11,833.95",$37.81,,,,
BUTTE,Non-Breastfeeding Mother,2015-10,329,864,"$12,306.47",$37.41,,,,
BUTTE,Non-Breastfeeding Mother,2015-11,315,813,"$11,809.21",$37.49,,,,
BUTTE,Non-Breastfeeding Mother,2015-12,302,803,"$11,626.16",$38.50,,,,
BUTTE,Non-Breastfeeding Mother,2016-01,300,800,"$11,749.03",$39.16,,,,
BUTTE,Non-Breastfeeding Mother,2016-02,287,772,"$11,234.33",$39.14,,,,
BUTTE,Non-Breastfeeding Mother,2016-03,309,838,"$11,704.33",$37.88,,,,
BUTTE,Non-Breastfeeding Mother,2016-04,305,826,"$11,794.39",$38.67,,,,
BUTTE,Non-Breastfeeding Mother,2016-05,291,776,"$10,965.82",$37.68,,,,
BUTTE,Non-Breastfeeding Mother,2016-06,294,782,"$10,820.48",$36.80,,,,
BUTTE,Non-Breastfeeding Mother,2016-07,294,762,"$10,619.19",$36.12,,,,
BUTTE,Non-Breastfeeding Mother,2016-08,273,706,"$9,919.16",$36.33,,,,
BUTTE,Non-Breastfeeding Mother,2016-09,296,780,"$11,043.89",$37.31,,,,
BUTTE,Non-Breastfeeding Mother,2016-10,275,713,"$10,060.60",$36.58,,,,
BUTTE,Non-Breastfeeding Mother,2016-11,274,719,"$10,317.25",$37.65,,,,
BUTTE,Non-Breastfeeding Mother,2016-12,291,779,"$11,356.67",$39.03,,,,
BUTTE,Prenatal,2010-01,749,"2,630","$36,126.74",$48.23,,,,
BUTTE,Prenatal,2010-02,751,"2,673","$36,270.56",$48.30,,,,
BUTTE,Prenatal,2010-03,778,"2,784","$37,484.15",$48.18,,,,
BUTTE,Prenatal,2010-04,838,"2,965","$39,267.32",$46.86,,,,
BUTTE,Prenatal,2010-05,810,"2,922","$38,434.68",$47.45,,,,
BUTTE,Prenatal,2010-06,843,"2,981","$38,805.84",$46.03,,,,
BUTTE,Prenatal,2010-07,809,"2,892","$37,601.07",$46.48,,,,
BUTTE,Prenatal,2010-08,792,"2,858","$36,861.34",$46.54,,,,
BUTTE,Prenatal,2010-09,743,"2,675","$34,430.48",$46.34,,,,
BUTTE,Prenatal,2010-10,722,"2,513","$32,777.34",$45.40,,,,
BUTTE,Prenatal,2010-11,702,"2,504","$33,117.86",$47.18,,,,
BUTTE,Prenatal,2010-12,718,"2,532","$33,520.99",$46.69,,,,
BUTTE,Prenatal,2011-01,709,"2,570","$33,653.74",$47.47,,,,
BUTTE,Prenatal,2011-02,703,"2,485","$33,218.16",$47.25,,,,
BUTTE,Prenatal,2011-03,730,"2,622","$35,660.73",$48.85,,,,
BUTTE,Prenatal,2011-04,725,"2,623","$36,443.18",$50.27,,,,
BUTTE,Prenatal,2011-05,719,"2,577","$35,377.30",$49.20,,,,
BUTTE,Prenatal,2011-06,760,"2,715","$38,136.74",$50.18,,,,
BUTTE,Prenatal,2011-07,739,"2,635","$36,993.35",$50.06,,,,
BUTTE,Prenatal,2011-08,770,"2,731","$38,910.49",$50.53,,,,
BUTTE,Prenatal,2011-09,759,"2,739","$38,976.70",$51.35,,,,
BUTTE,Prenatal,2011-10,713,"2,530","$35,941.70",$50.41,,,,
BUTTE,Prenatal,2011-11,732,"2,574","$36,466.51",$49.82,,,,
BUTTE,Prenatal,2011-12,690,"2,433","$34,794.50",$50.43,,,,
BUTTE,Prenatal,2012-01,722,"2,591","$36,794.88",$50.96,,,,
BUTTE,Prenatal,2012-02,721,"2,603","$36,640.37",$50.82,,,,
BUTTE,Prenatal,2012-03,727,"2,607","$36,747.00",$50.55,,,,
BUTTE,Prenatal,2012-04,733,"2,627","$37,063.28",$50.56,,,,
BUTTE,Prenatal,2012-05,713,"2,597","$35,975.58",$50.46,,,,
BUTTE,Prenatal,2012-06,753,"2,752","$37,764.16",$50.15,,,,
BUTTE,Prenatal,2012-07,729,"2,639","$36,477.71",$50.04,,,,
BUTTE,Prenatal,2012-08,739,"2,660","$36,917.73",$49.96,,,,
BUTTE,Prenatal,2012-09,672,"2,443","$33,941.13",$50.51,,,,
BUTTE,Prenatal,2012-10,686,"2,417","$34,333.46",$50.05,,,,
BUTTE,Prenatal,2012-11,649,"2,325","$32,920.53",$50.73,,,,
BUTTE,Prenatal,2012-12,623,"2,221","$31,186.02",$50.06,,,,
BUTTE,Prenatal,2013-01,651,"2,297","$32,513.64",$49.94,,,,
BUTTE,Prenatal,2013-02,657,"2,347","$32,840.52",$49.99,,,,
BUTTE,Prenatal,2013-03,687,"2,405","$33,961.21",$49.43,,,,
BUTTE,Prenatal,2013-04,772,"2,740","$38,154.89",$49.42,,,,
BUTTE,Prenatal,2013-05,772,"2,719","$37,777.89",$48.94,,,,
BUTTE,Prenatal,2013-06,771,"2,732","$38,070.02",$49.38,,,,
BUTTE,Prenatal,2013-07,831,"2,956","$40,958.45",$49.29,,,,
BUTTE,Prenatal,2013-08,825,"2,950","$40,520.39",$49.12,,,,
BUTTE,Prenatal,2013-09,780,"2,778","$38,491.26",$49.35,,,,
BUTTE,Prenatal,2013-10,762,"2,688","$37,532.99",$49.26,,,,
BUTTE,Prenatal,2013-11,685,"2,469","$34,457.96",$50.30,,,,
BUTTE,Prenatal,2013-12,678,"2,406","$34,047.96",$50.22,,,,
BUTTE,Prenatal,2014-01,705,"2,535","$36,155.45",$51.28,,,,
BUTTE,Prenatal,2014-02,660,"2,355","$34,398.62",$52.12,,,,
BUTTE,Prenatal,2014-03,694,"2,487","$36,574.89",$52.70,,,,
BUTTE,Prenatal,2014-04,691,"2,482","$36,863.14",$53.35,,,,
BUTTE,Prenatal,2014-05,693,"2,449","$36,710.31",$52.97,,,,
BUTTE,Prenatal,2014-06,701,"2,552","$37,785.93",$53.90,,,,
BUTTE,Prenatal,2014-07,730,"2,602","$38,561.78",$52.82,,,,
BUTTE,Prenatal,2014-08,706,"2,493","$36,429.83",$51.60,,,,
BUTTE,Prenatal,2014-09,701,"2,451","$35,446.64",$50.57,,,,
BUTTE,Prenatal,2014-10,660,"2,302","$33,249.28",$50.38,,,,
BUTTE,Prenatal,2014-11,622,"2,171","$31,183.36",$50.13,,,,
BUTTE,Prenatal,2014-12,600,"2,092","$31,022.53",$51.70,,,,
BUTTE,Prenatal,2015-01,641,"2,196","$32,182.89",$50.21,,,,
BUTTE,Prenatal,2015-02,611,"2,167","$30,459.57",$49.85,,,,
BUTTE,Prenatal,2015-03,623,"2,176","$30,320.25",$48.67,,,,
BUTTE,Prenatal,2015-04,646,"2,237","$30,666.00",$47.47,,,,
BUTTE,Prenatal,2015-05,649,"2,293","$31,751.19",$48.92,,,,
BUTTE,Prenatal,2015-06,678,"2,392","$33,168.03",$48.92,,,,
BUTTE,Prenatal,2015-07,690,"2,443","$34,223.64",$49.60,,,,
BUTTE,Prenatal,2015-08,644,"2,259","$31,985.58",$49.67,,,,
BUTTE,Prenatal,2015-09,601,"2,094","$29,458.71",$49.02,,,,
BUTTE,Prenatal,2015-10,607,"2,122","$30,089.11",$49.57,,,,
BUTTE,Prenatal,2015-11,554,"1,946","$27,735.76",$50.06,,,,
BUTTE,Prenatal,2015-12,565,"2,004","$28,125.69",$49.78,,,,
BUTTE,Prenatal,2016-01,575,"2,022","$28,895.89",$50.25,,,,
BUTTE,Prenatal,2016-02,554,"1,974","$27,765.16",$50.12,,,,
BUTTE,Prenatal,2016-03,577,"2,002","$28,214.68",$48.90,,,,
BUTTE,Prenatal,2016-04,590,"2,078","$29,429.91",$49.88,,,,
BUTTE,Prenatal,2016-05,563,"1,968","$27,366.22",$48.61,,,,
BUTTE,Prenatal,2016-06,579,"2,103","$29,167.74",$50.38,,,,
BUTTE,Prenatal,2016-07,576,"2,031","$28,224.26",$49.00,,,,
BUTTE,Prenatal,2016-08,570,"1,988","$27,721.35",$48.63,,,,
BUTTE,Prenatal,2016-09,544,"1,874","$26,242.44",$48.24,,,,
BUTTE,Prenatal,2016-10,484,"1,641","$22,887.20",$47.29,,,,
BUTTE,Prenatal,2016-11,484,"1,678","$23,601.03",$48.76,,,,
BUTTE,Prenatal,2016-12,440,"1,555","$22,133.18",$50.30,,,,
